,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
153,535.87067,198.63269,692.8849,224.69629,651.88696,290.71558,638.89136,129.71155,532.8702,344.63074,105.01935,239.41974,556.8821,212.65134,150.01544,236.46986,595.8764,292.66788,120.00725,224.43503
154,536.1575,198.72983,693.16724,224.79782,652.17035,290.8108,639.17505,129.80637,533.1571,344.728,105.329315,239.20432,557.1682,212.74706,150.32425,236.26709,596.16064,292.7631,120.314835,224.22585
155,536.2933,198.51988,693.3081,224.57,652.3097,290.57877,639.31323,129.57526,533.2933,344.51862,105.398056,239.37976,557.3014,212.53319,150.36581,236.43959,596.2925,292.5437,120.3707,224.40823
156,534.47595,197.49797,691.4337,223.42606,650.4544,289.45575,637.462,128.46088,531.47626,343.49792,103.888504,240.11311,555.47644,211.49693,148.86806,237.09668,594.46265,291.4854,118.87674,225.10413
157,534.0918,197.25119,691.052,223.16559,650.07025,289.18817,637.0745,128.19287,531.0923,343.25183,103.37413,240.1317,555.0875,211.24371,148.32196,237.11758,594.0759,291.2259,118.34863,225.12741
158,533.95935,197.05188,690.9271,222.95563,649.94385,288.9728,636.94653,127.97705,530.96,343.05295,103.102905,240.04964,554.9525,211.04102,148.03308,237.0392,593.94086,291.02002,118.06761,225.04944
159,533.5141,196.5807,690.4707,222.39468,649.4928,288.42496,636.4939,127.433945,530.51514,342.5831,102.77307,240.55789,554.5039,210.55946,147.68713,237.5011,593.49146,290.5194,117.729904,225.53857
160,533.4392,196.8186,690.3987,222.67224,649.42053,288.6962,636.4225,127.70259,530.4402,342.82043,102.75168,240.54402,554.42834,210.80168,147.66069,237.4965,593.41547,290.77176,117.70415,225.5311
161,533.88403,197.15553,690.85016,223.04286,649.8677,289.0591,636.87164,128.06334,530.88477,343.157,102.958954,240.41989,554.87555,211.14172,147.88033,237.39175,593.8642,291.11783,117.91882,225.41284
162,533.9983,196.9486,690.97595,222.83514,649.98987,288.85092,636.99225,127.8557,530.999,342.9502,102.96004,240.4483,554.99084,210.9352,147.87466,237.40744,593.98193,290.91144,117.92062,225.43535
163,534.4724,197.35397,691.444,223.26492,650.46124,289.2779,637.4658,128.28076,531.473,343.35507,103.30591,240.12543,555.4651,211.34457,148.23492,237.11626,594.4542,291.3261,118.27356,225.12646
164,535.819,198.2703,692.8137,224.26721,651.8237,290.265,638.8298,129.26184,532.8191,344.27008,104.47551,239.82562,556.81714,212.27081,149.41905,236.8525,595.80945,292.26987,119.44833,224.84218
165,535.75684,198.44348,692.75055,224.44656,651.76025,290.44583,638.76746,129.44266,532.75684,344.443,104.54726,240.02914,556.75604,212.44608,149.50404,237.04254,595.74774,292.4464,119.5298,225.0375
166,535.8716,198.60213,692.8617,224.6174,651.8711,290.61514,638.87836,129.61111,532.8716,344.6015,104.7081,239.93259,556.87036,212.60632,149.68143,236.95248,595.86194,292.60974,119.69748,224.94412
167,537.4802,198.7325,694.46765,224.76111,653.47894,290.75555,640.4885,129.75114,534.48016,344.7317,106.16167,239.59914,558.4798,212.73784,151.14754,236.65112,597.46844,292.74374,121.15669,224.62665
168,535.47266,197.96252,692.4551,223.9462,651.47064,289.95084,638.48096,128.95013,532.4726,343.96222,104.294266,239.61646,556.47095,211.96313,149.25735,236.64343,595.4597,291.96155,119.27965,224.6326
169,535.2383,197.93028,692.2256,223.90984,651.2402,289.91367,638.24884,128.91333,532.2384,343.93033,104.20758,239.75827,556.235,211.9287,149.1559,236.77312,595.2245,291.9248,119.18512,224.76761
170,534.9353,197.91411,691.92847,223.88655,650.9417,289.8861,637.94916,128.88553,531.9356,343.91455,103.99951,240.09619,555.93036,211.90877,148.93143,237.08803,594.92035,291.9003,118.96649,225.09677
171,533.71045,197.01646,690.6903,222.91995,649.7083,288.93088,636.715,127.93451,530.71106,343.01804,103.07236,240.57706,554.7013,211.00209,147.99792,237.50775,593.68994,290.9788,118.03586,225.55109
172,533.205,196.384,690.18164,222.23212,649.2001,288.24924,636.2041,127.25438,530.20593,342.38693,102.583755,240.48657,554.194,210.35962,147.48175,237.40477,593.1823,290.322,117.53223,225.45615
173,533.17786,196.34625,690.1544,222.19968,649.17316,288.2154,636.1771,127.22061,530.1787,342.349,102.48045,240.38809,554.1667,210.32237,147.37767,237.31703,593.1549,290.2859,117.42842,225.36359
174,533.11584,196.32542,690.09436,222.17258,649.1116,288.18942,636.11414,127.19464,530.1167,342.32834,102.46193,240.86258,554.1047,210.30054,147.3602,237.77098,593.09314,290.26178,117.40971,225.82843
